nohup: ignoring input
[FG-COARSE] tag=initresource_asc_frag12_aff0.15_glf0.95 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0_glf0.65 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0_glf0.65 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0_glf0.65 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0_glf0.75 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0_glf0.75 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0_glf0.75 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0_glf0.85 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0_glf0.85 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0_glf0.85 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0_glf0.95 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0_glf0.95 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0_glf0.95 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0.02_glf0.65 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0.02_glf0.65 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0.02_glf0.65 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0.02_glf0.75 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0.02_glf0.75 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0.02_glf0.75 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0.02_glf0.85 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0.02_glf0.85 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0.02_glf0.85 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0.02_glf0.95 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0.02_glf0.95 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0.02_glf0.95 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0.05_glf0.65 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0.05_glf0.65 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0.05_glf0.65 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0.05_glf0.75 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0.05_glf0.75 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0.05_glf0.75 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0.05_glf0.85 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0.05_glf0.85 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0.05_glf0.85 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0.05_glf0.95 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0.05_glf0.95 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0.05_glf0.95 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0.10_glf0.65 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0.10_glf0.65 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0.10_glf0.65 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0.10_glf0.75 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0.10_glf0.75 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0.10_glf0.75 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0.10_glf0.85 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0.10_glf0.85 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0.10_glf0.85 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0.10_glf0.95 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0.10_glf0.95 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0.10_glf0.95 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0.15_glf0.65 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0.15_glf0.65 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0.15_glf0.65 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0.15_glf0.75 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0.15_glf0.75 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0.15_glf0.75 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0.15_glf0.85 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0.15_glf0.85 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0.15_glf0.85 req=1000
[FG-COARSE] tag=initresource_asc_frag15_aff0.15_glf0.95 req=300
[FG-COARSE] tag=initresource_asc_frag15_aff0.15_glf0.95 req=600
[FG-COARSE] tag=initresource_asc_frag15_aff0.15_glf0.95 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0_glf0.65 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0_glf0.65 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0_glf0.65 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0_glf0.75 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0_glf0.75 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0_glf0.75 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0_glf0.85 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0_glf0.85 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0_glf0.85 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0_glf0.95 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0_glf0.95 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0_glf0.95 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0.02_glf0.65 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0.02_glf0.65 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0.02_glf0.65 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0.02_glf0.75 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0.02_glf0.75 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0.02_glf0.75 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0.02_glf0.85 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0.02_glf0.85 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0.02_glf0.85 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0.02_glf0.95 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0.02_glf0.95 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0.02_glf0.95 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0.05_glf0.65 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0.05_glf0.65 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0.05_glf0.65 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0.05_glf0.75 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0.05_glf0.75 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0.05_glf0.75 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0.05_glf0.85 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0.05_glf0.85 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0.05_glf0.85 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0.05_glf0.95 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0.05_glf0.95 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0.05_glf0.95 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0.10_glf0.65 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0.10_glf0.65 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0.10_glf0.65 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0.10_glf0.75 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0.10_glf0.75 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0.10_glf0.75 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0.10_glf0.85 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0.10_glf0.85 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0.10_glf0.85 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0.10_glf0.95 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0.10_glf0.95 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0.10_glf0.95 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0.15_glf0.65 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0.15_glf0.65 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0.15_glf0.65 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0.15_glf0.75 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0.15_glf0.75 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0.15_glf0.75 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0.15_glf0.85 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0.15_glf0.85 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0.15_glf0.85 req=1000
[FG-COARSE] tag=initresource_asc_frag20_aff0.15_glf0.95 req=300
[FG-COARSE] tag=initresource_asc_frag20_aff0.15_glf0.95 req=600
[FG-COARSE] tag=initresource_asc_frag20_aff0.15_glf0.95 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0_glf0.65 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0_glf0.65 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0_glf0.65 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0_glf0.75 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0_glf0.75 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0_glf0.75 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0_glf0.85 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0_glf0.85 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0_glf0.85 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0_glf0.95 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0_glf0.95 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0_glf0.95 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0.02_glf0.65 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0.02_glf0.65 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0.02_glf0.65 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0.02_glf0.75 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0.02_glf0.75 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0.02_glf0.75 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0.02_glf0.85 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0.02_glf0.85 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0.02_glf0.85 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0.02_glf0.95 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0.02_glf0.95 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0.02_glf0.95 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0.05_glf0.65 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0.05_glf0.65 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0.05_glf0.65 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0.05_glf0.75 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0.05_glf0.75 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0.05_glf0.75 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0.05_glf0.85 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0.05_glf0.85 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0.05_glf0.85 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0.05_glf0.95 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0.05_glf0.95 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0.05_glf0.95 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0.10_glf0.65 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0.10_glf0.65 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0.10_glf0.65 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0.10_glf0.75 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0.10_glf0.75 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0.10_glf0.75 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0.10_glf0.85 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0.10_glf0.85 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0.10_glf0.85 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0.10_glf0.95 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0.10_glf0.95 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0.10_glf0.95 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0.15_glf0.65 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0.15_glf0.65 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0.15_glf0.65 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0.15_glf0.75 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0.15_glf0.75 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0.15_glf0.75 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0.15_glf0.85 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0.15_glf0.85 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0.15_glf0.85 req=1000
[FG-COARSE] tag=initresource_asc_frag30_aff0.15_glf0.95 req=300
[FG-COARSE] tag=initresource_asc_frag30_aff0.15_glf0.95 req=600
[FG-COARSE] tag=initresource_asc_frag30_aff0.15_glf0.95 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0_glf0.65 req=300
[FG-COARSE] tag=initarrival_frag0_aff0_glf0.65 req=600
[FG-COARSE] tag=initarrival_frag0_aff0_glf0.65 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0_glf0.75 req=300
[FG-COARSE] tag=initarrival_frag0_aff0_glf0.75 req=600
[FG-COARSE] tag=initarrival_frag0_aff0_glf0.75 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0_glf0.85 req=300
[FG-COARSE] tag=initarrival_frag0_aff0_glf0.85 req=600
[FG-COARSE] tag=initarrival_frag0_aff0_glf0.85 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0_glf0.95 req=300
[FG-COARSE] tag=initarrival_frag0_aff0_glf0.95 req=600
[FG-COARSE] tag=initarrival_frag0_aff0_glf0.95 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0.02_glf0.65 req=300
[FG-COARSE] tag=initarrival_frag0_aff0.02_glf0.65 req=600
[FG-COARSE] tag=initarrival_frag0_aff0.02_glf0.65 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0.02_glf0.75 req=300
[FG-COARSE] tag=initarrival_frag0_aff0.02_glf0.75 req=600
[FG-COARSE] tag=initarrival_frag0_aff0.02_glf0.75 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0.02_glf0.85 req=300
[FG-COARSE] tag=initarrival_frag0_aff0.02_glf0.85 req=600
[FG-COARSE] tag=initarrival_frag0_aff0.02_glf0.85 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0.02_glf0.95 req=300
[FG-COARSE] tag=initarrival_frag0_aff0.02_glf0.95 req=600
[FG-COARSE] tag=initarrival_frag0_aff0.02_glf0.95 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0.05_glf0.65 req=300
[FG-COARSE] tag=initarrival_frag0_aff0.05_glf0.65 req=600
[FG-COARSE] tag=initarrival_frag0_aff0.05_glf0.65 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0.05_glf0.75 req=300
[FG-COARSE] tag=initarrival_frag0_aff0.05_glf0.75 req=600
[FG-COARSE] tag=initarrival_frag0_aff0.05_glf0.75 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0.05_glf0.85 req=300
[FG-COARSE] tag=initarrival_frag0_aff0.05_glf0.85 req=600
[FG-COARSE] tag=initarrival_frag0_aff0.05_glf0.85 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0.05_glf0.95 req=300
[FG-COARSE] tag=initarrival_frag0_aff0.05_glf0.95 req=600
[FG-COARSE] tag=initarrival_frag0_aff0.05_glf0.95 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0.10_glf0.65 req=300
[FG-COARSE] tag=initarrival_frag0_aff0.10_glf0.65 req=600
[FG-COARSE] tag=initarrival_frag0_aff0.10_glf0.65 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0.10_glf0.75 req=300
[FG-COARSE] tag=initarrival_frag0_aff0.10_glf0.75 req=600
[FG-COARSE] tag=initarrival_frag0_aff0.10_glf0.75 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0.10_glf0.85 req=300
[FG-COARSE] tag=initarrival_frag0_aff0.10_glf0.85 req=600
[FG-COARSE] tag=initarrival_frag0_aff0.10_glf0.85 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0.10_glf0.95 req=300
[FG-COARSE] tag=initarrival_frag0_aff0.10_glf0.95 req=600
[FG-COARSE] tag=initarrival_frag0_aff0.10_glf0.95 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0.15_glf0.65 req=300
[FG-COARSE] tag=initarrival_frag0_aff0.15_glf0.65 req=600
[FG-COARSE] tag=initarrival_frag0_aff0.15_glf0.65 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0.15_glf0.75 req=300
[FG-COARSE] tag=initarrival_frag0_aff0.15_glf0.75 req=600
[FG-COARSE] tag=initarrival_frag0_aff0.15_glf0.75 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0.15_glf0.85 req=300
[FG-COARSE] tag=initarrival_frag0_aff0.15_glf0.85 req=600
[FG-COARSE] tag=initarrival_frag0_aff0.15_glf0.85 req=1000
[FG-COARSE] tag=initarrival_frag0_aff0.15_glf0.95 req=300
[FG-COARSE] tag=initarrival_frag0_aff0.15_glf0.95 req=600
[FG-COARSE] tag=initarrival_frag0_aff0.15_glf0.95 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0_glf0.65 req=300
[FG-COARSE] tag=initarrival_frag2_aff0_glf0.65 req=600
[FG-COARSE] tag=initarrival_frag2_aff0_glf0.65 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0_glf0.75 req=300
[FG-COARSE] tag=initarrival_frag2_aff0_glf0.75 req=600
[FG-COARSE] tag=initarrival_frag2_aff0_glf0.75 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0_glf0.85 req=300
[FG-COARSE] tag=initarrival_frag2_aff0_glf0.85 req=600
[FG-COARSE] tag=initarrival_frag2_aff0_glf0.85 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0_glf0.95 req=300
[FG-COARSE] tag=initarrival_frag2_aff0_glf0.95 req=600
[FG-COARSE] tag=initarrival_frag2_aff0_glf0.95 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0.02_glf0.65 req=300
[FG-COARSE] tag=initarrival_frag2_aff0.02_glf0.65 req=600
[FG-COARSE] tag=initarrival_frag2_aff0.02_glf0.65 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0.02_glf0.75 req=300
[FG-COARSE] tag=initarrival_frag2_aff0.02_glf0.75 req=600
[FG-COARSE] tag=initarrival_frag2_aff0.02_glf0.75 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0.02_glf0.85 req=300
[FG-COARSE] tag=initarrival_frag2_aff0.02_glf0.85 req=600
[FG-COARSE] tag=initarrival_frag2_aff0.02_glf0.85 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0.02_glf0.95 req=300
[FG-COARSE] tag=initarrival_frag2_aff0.02_glf0.95 req=600
[FG-COARSE] tag=initarrival_frag2_aff0.02_glf0.95 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0.05_glf0.65 req=300
[FG-COARSE] tag=initarrival_frag2_aff0.05_glf0.65 req=600
[FG-COARSE] tag=initarrival_frag2_aff0.05_glf0.65 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0.05_glf0.75 req=300
[FG-COARSE] tag=initarrival_frag2_aff0.05_glf0.75 req=600
[FG-COARSE] tag=initarrival_frag2_aff0.05_glf0.75 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0.05_glf0.85 req=300
[FG-COARSE] tag=initarrival_frag2_aff0.05_glf0.85 req=600
[FG-COARSE] tag=initarrival_frag2_aff0.05_glf0.85 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0.05_glf0.95 req=300
[FG-COARSE] tag=initarrival_frag2_aff0.05_glf0.95 req=600
[FG-COARSE] tag=initarrival_frag2_aff0.05_glf0.95 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0.10_glf0.65 req=300
[FG-COARSE] tag=initarrival_frag2_aff0.10_glf0.65 req=600
[FG-COARSE] tag=initarrival_frag2_aff0.10_glf0.65 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0.10_glf0.75 req=300
[FG-COARSE] tag=initarrival_frag2_aff0.10_glf0.75 req=600
[FG-COARSE] tag=initarrival_frag2_aff0.10_glf0.75 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0.10_glf0.85 req=300
[FG-COARSE] tag=initarrival_frag2_aff0.10_glf0.85 req=600
[FG-COARSE] tag=initarrival_frag2_aff0.10_glf0.85 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0.10_glf0.95 req=300
[FG-COARSE] tag=initarrival_frag2_aff0.10_glf0.95 req=600
[FG-COARSE] tag=initarrival_frag2_aff0.10_glf0.95 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0.15_glf0.65 req=300
[FG-COARSE] tag=initarrival_frag2_aff0.15_glf0.65 req=600
[FG-COARSE] tag=initarrival_frag2_aff0.15_glf0.65 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0.15_glf0.75 req=300
[FG-COARSE] tag=initarrival_frag2_aff0.15_glf0.75 req=600
[FG-COARSE] tag=initarrival_frag2_aff0.15_glf0.75 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0.15_glf0.85 req=300
[FG-COARSE] tag=initarrival_frag2_aff0.15_glf0.85 req=600
[FG-COARSE] tag=initarrival_frag2_aff0.15_glf0.85 req=1000
[FG-COARSE] tag=initarrival_frag2_aff0.15_glf0.95 req=300
[FG-COARSE] tag=initarrival_frag2_aff0.15_glf0.95 req=600
[FG-COARSE] tag=initarrival_frag2_aff0.15_glf0.95 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0_glf0.65 req=300
[FG-COARSE] tag=initarrival_frag5_aff0_glf0.65 req=600
[FG-COARSE] tag=initarrival_frag5_aff0_glf0.65 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0_glf0.75 req=300
[FG-COARSE] tag=initarrival_frag5_aff0_glf0.75 req=600
[FG-COARSE] tag=initarrival_frag5_aff0_glf0.75 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0_glf0.85 req=300
[FG-COARSE] tag=initarrival_frag5_aff0_glf0.85 req=600
[FG-COARSE] tag=initarrival_frag5_aff0_glf0.85 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0_glf0.95 req=300
[FG-COARSE] tag=initarrival_frag5_aff0_glf0.95 req=600
[FG-COARSE] tag=initarrival_frag5_aff0_glf0.95 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0.02_glf0.65 req=300
[FG-COARSE] tag=initarrival_frag5_aff0.02_glf0.65 req=600
[FG-COARSE] tag=initarrival_frag5_aff0.02_glf0.65 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0.02_glf0.75 req=300
[FG-COARSE] tag=initarrival_frag5_aff0.02_glf0.75 req=600
[FG-COARSE] tag=initarrival_frag5_aff0.02_glf0.75 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0.02_glf0.85 req=300
[FG-COARSE] tag=initarrival_frag5_aff0.02_glf0.85 req=600
[FG-COARSE] tag=initarrival_frag5_aff0.02_glf0.85 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0.02_glf0.95 req=300
[FG-COARSE] tag=initarrival_frag5_aff0.02_glf0.95 req=600
[FG-COARSE] tag=initarrival_frag5_aff0.02_glf0.95 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0.05_glf0.65 req=300
[FG-COARSE] tag=initarrival_frag5_aff0.05_glf0.65 req=600
[FG-COARSE] tag=initarrival_frag5_aff0.05_glf0.65 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0.05_glf0.75 req=300
[FG-COARSE] tag=initarrival_frag5_aff0.05_glf0.75 req=600
[FG-COARSE] tag=initarrival_frag5_aff0.05_glf0.75 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0.05_glf0.85 req=300
[FG-COARSE] tag=initarrival_frag5_aff0.05_glf0.85 req=600
[FG-COARSE] tag=initarrival_frag5_aff0.05_glf0.85 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0.05_glf0.95 req=300
[FG-COARSE] tag=initarrival_frag5_aff0.05_glf0.95 req=600
[FG-COARSE] tag=initarrival_frag5_aff0.05_glf0.95 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0.10_glf0.65 req=300
[FG-COARSE] tag=initarrival_frag5_aff0.10_glf0.65 req=600
[FG-COARSE] tag=initarrival_frag5_aff0.10_glf0.65 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0.10_glf0.75 req=300
[FG-COARSE] tag=initarrival_frag5_aff0.10_glf0.75 req=600
[FG-COARSE] tag=initarrival_frag5_aff0.10_glf0.75 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0.10_glf0.85 req=300
[FG-COARSE] tag=initarrival_frag5_aff0.10_glf0.85 req=600
[FG-COARSE] tag=initarrival_frag5_aff0.10_glf0.85 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0.10_glf0.95 req=300
[FG-COARSE] tag=initarrival_frag5_aff0.10_glf0.95 req=600
[FG-COARSE] tag=initarrival_frag5_aff0.10_glf0.95 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0.15_glf0.65 req=300
[FG-COARSE] tag=initarrival_frag5_aff0.15_glf0.65 req=600
[FG-COARSE] tag=initarrival_frag5_aff0.15_glf0.65 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0.15_glf0.75 req=300
[FG-COARSE] tag=initarrival_frag5_aff0.15_glf0.75 req=600
[FG-COARSE] tag=initarrival_frag5_aff0.15_glf0.75 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0.15_glf0.85 req=300
[FG-COARSE] tag=initarrival_frag5_aff0.15_glf0.85 req=600
[FG-COARSE] tag=initarrival_frag5_aff0.15_glf0.85 req=1000
[FG-COARSE] tag=initarrival_frag5_aff0.15_glf0.95 req=300
[FG-COARSE] tag=initarrival_frag5_aff0.15_glf0.95 req=600
[FG-COARSE] tag=initarrival_frag5_aff0.15_glf0.95 req=1000
[FG-COARSE] tag=initarrival_frag8_aff0_glf0.65 req=300
[FG-COARSE] tag=initarrival_frag8_aff0_glf0.65 req=600
[FG-COARSE] tag=initarrival_frag8_aff0_glf0.65 req=1000
[FG-COARSE] tag=initarrival_frag8_aff0_glf0.75 req=300
[FG-COARSE] tag=initarrival_frag8_aff0_glf0.75 req=600
[FG-COARSE] tag=initarrival_frag8_aff0_glf0.75 req=1000
[FG-COARSE] tag=initarrival_frag8_aff0_glf0.85 req=300
[FG-COARSE] tag=initarrival_frag8_aff0_glf0.85 req=600
